date,symbol,predicted_return,signal
2024-01-04,UYVS,-0.03321778943820387,sell
2024-01-04,WHF,0.007773089549937433,hold
2024-01-05,KRJF,-0.007352606269718027,hold
2024-01-08,PODJ,0.022646745310795698,buy
2024-01-09,CMFJ,-0.022081223863038617,sell
2024-01-11,KZHH,-0.04931093348568661,sell
2024-01-16,YSUE,-0.013613494960582064,sell
2024-01-17,KSDL,-0.08599094205227359,sell
2024-01-17,KSDL,-0.04926864054721223,sell
2024-01-17,TFUD,-0.035198194405797335,sell
2024-01-17,OSNR,-0.03737705837275715,sell
2024-01-18,IGRF,-0.029384204326560713,sell
2024-01-19,ZWSJ,-0.11829691591655012,sell
2024-01-19,RDMH,-0.10933653719391252,sell
2024-01-22,MXLP,0.0032470712270091795,hold
2024-01-23,ODCO,-0.040759702079620486,sell
2024-01-24,EBRT,0.038414542192411,buy
2024-01-24,ETHX,0.03144090881885621,buy
2024-01-24,GJ,-0.006180861936449782,hold
2024-01-25,LJBN,-0.033074333040151976,sell
2024-01-29,DKP,-0.016767999753823943,sell
2024-01-30,ADU,-0.015936297231472173,sell
2024-01-30,GDIF,-0.020001693316096907,sell
2024-02-05,CXQM,-0.048841427763175356,sell
2024-02-05,UA,0.014813146526440855,buy
2024-02-05,LNSO,-0.09946521229327882,sell
2024-02-06,JCHQ,-0.06625481162640932,sell
2024-02-06,SCIO,0.0490872355974423,buy
2024-02-06,DAAA,-0.010368063803981014,sell
2024-02-07,CGJW,-0.001226797129559292,hold
2024-02-07,VACA,-0.00871407481242215,hold
2024-02-07,EZUP,-0.06732071324002348,sell
2024-02-07,TFUD,-0.07088152285345556,sell
2024-02-08,CAKF,0.03472378871712088,buy
2024-02-09,GJRB,-0.10123005266588699,sell
2024-02-09,QLJT,-0.07297158594506545,sell
2024-02-12,LZOZ,-0.029155547497271575,sell
2024-02-13,LKXK,-0.1572038291491541,sell
2024-02-13,CJSJ,-0.024214121037509657,sell
2024-02-13,JUOL,-0.10965799414594225,sell
2024-02-14,ZNTC,-0.18926291824224273,sell
2024-02-14,ABJ,-0.07863891846794568,sell
2024-02-14,TWSJ,-0.05486746358589037,sell
2024-02-15,XTRS,-0.05407664073808395,sell
2024-02-15,AICR,0.013264657304601184,buy
2024-02-20,YFGA,-0.02256975909144927,sell
2024-02-20,CEHL,-0.00037336657832090503,hold
2024-02-21,YMRZ,0.02220062947036614,buy
2024-02-21,DZY,-0.05316572716952922,sell
2024-02-22,QFEE,-0.045898235855384155,sell
2024-02-22,ORMJ,0.0009243898269046397,hold
2024-02-23,YYEW,-0.035416232047971674,sell
2024-02-26,ECD,-8.791848345543474e-05,hold
2024-02-26,OXWK,0.013449819169264389,buy
2024-02-27,PCNZ,-0.03659291498989633,sell
2024-02-27,XPUY,-0.03333493152082173,sell
2024-02-28,BQDG,0.0806475894294963,buy
2024-03-04,FC,-0.03644721876697953,sell
2024-03-04,ODSN,-0.03510028887216742,sell
2024-03-04,NACQ,0.08998292771105641,buy
2024-03-04,IWDV,-0.042494074561860024,sell
2024-03-05,FC,-0.02835664499854583,sell
2024-03-05,XMDV,-0.09420033759277395,sell
2024-03-05,KVIL,-0.24254642688439215,sell
2024-03-05,WBFE,-0.008639565394522602,hold
2024-03-05,WBFE,-0.023798318097722468,sell
2024-03-06,UAC,-0.04155541553858556,sell
2024-03-06,WNDE,-0.029054038488823715,sell
2024-03-06,WBFE,0.009260127648378212,hold
2024-03-07,TXGV,0.006688389703210906,hold
2024-03-11,KDTZ,0.004665771891264995,hold
2024-03-12,ZKBT,0.009645901308909174,hold
2024-03-12,HPOI,-0.0027996763261540145,hold
2024-03-12,SZYK,-0.012130983322560667,sell
2024-03-13,LJPR,0.0291778787361896,buy
2024-03-13,GHC,-0.07800391856762273,sell
2024-03-13,RXQ,-0.1787211580472512,sell
2024-03-14,MMQP,-0.039419930281076834,sell
2024-03-15,WNDE,-0.004407594070393532,hold
2024-03-18,USL,0.00970692576271738,hold
2024-03-18,GEQM,0.07824211954641283,buy
2024-03-18,ZHP,-0.06423612712529475,sell
2024-03-18,AEJ,-0.010688204790566258,sell
2024-03-19,ORMJ,-0.04807383440866031,sell
2024-03-19,XRAH,-0.005249120254173088,hold
2024-03-19,OGSK,-0.0859737281804642,sell
2024-03-19,GCHA,0.0561865654631932,buy
2024-03-19,TXKB,0.029346024301757187,buy
2024-03-19,PEHQ,0.020866109420596815,buy
2024-03-20,ORMJ,-0.01884102619607803,sell
2024-03-20,JNBZ,-0.019698259936050528,sell
2024-03-22,OKEY,-0.029201807986863965,sell
2024-03-22,ZUXT,0.001657960535784004,hold
2024-03-22,ADXY,-0.03826857515838371,sell
2024-03-26,NEBX,-0.016328172838565722,sell
2024-03-26,SHZV,-0.020407434973311836,sell
2024-03-26,OMJV,0.05515259089974088,buy
2024-03-26,JYZV,-0.059146243845797045,sell
2024-03-27,BIBI,0.019158366622437438,buy
2024-03-28,HXGG,-0.011564314244393588,sell
2024-03-28,ZUS,-0.05271117918708387,sell
2024-04-01,ZRZG,-0.0009996342378245683,hold
2024-04-01,JBG,-0.04670527269549021,sell
2024-04-01,NFSE,-0.11909443473941483,sell
2024-04-03,VZP,-0.00441437149238539,hold
2024-04-03,FOR,-0.037809400361759726,sell
2024-04-03,ADXY,-0.05365968516466266,sell
2024-04-04,OPCT,0.01831066280903041,buy
2024-04-04,DBHU,0.07282886920149106,buy
2024-04-05,GPMV,0.04269828582987474,buy
2024-04-08,ZTZO,-0.037154652479136574,sell
2024-04-10,HMYC,-0.02611948839627177,sell
2024-04-11,KASK,0.04181102955010381,buy
2024-04-15,MXON,0.019145962192390613,buy
